class,path_rgb,path_gray
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00000.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00000.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00001.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00001.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00002.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00002.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00003.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00003.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00004.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00004.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00005.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00005.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00006.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00006.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00007.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00007.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00008.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00008.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00009.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00009.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00010.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00010.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00011.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00011.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00012.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00012.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00013.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00013.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00014.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00014.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00015.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00015.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00016.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00016.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00017.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00017.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00018.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00018.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00019.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00019.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00020.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00020.png
aluminium_foil,data_resized/rgb\aluminium_foil\sample_a\aluminium_foil_sample_a_00021.png,data_resized/gray\aluminium_foil\sample_a\aluminium_foil_sample_a_00021.png
